# Language: English

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map             World Map
map.caption.dungeon_name_1        Forest Dungeon
map.caption.dungeon_name_2        Roc's Cavern
map.caption.dungeon_name_3        Master Arbor's$Den
map.caption.dungeon_name_4        Beaumont's Palace
map.caption.dungeon_name_5        Ancient Castle
map.caption.dungeon_name_6        Inferno's Maze
map.caption.dungeon_name_7        Crystal Temple
map.caption.dungeon_name_8        Rock Peaks$Dungeon
map.caption.dungeon_name_9        Shrine of Memories
map.caption.dungeon_name_10       Skyward Tower

# Quest status submenu
quest_status.caption.rupee_bag_1    Wallet
quest_status.caption.rupee_bag_2    Big Wallet
quest_status.caption.rupee_bag_3    Giant Wallet
quest_status.caption.bomb_bag_1     Bomb Bag
quest_status.caption.bomb_bag_2     Large$Bomb Bag
quest_status.caption.bomb_bag_3     Giant$Bomb Bag
quest_status.caption.quiver_1       Quiver
quest_status.caption.quiver_2       Large Quiver
quest_status.caption.quiver_3       Giant Quiver
quest_status.caption.world_map      World Map
quest_status.caption.pieces_of_heart    Pieces of Heart
quest_status.caption.tunic_1        Green Mail
quest_status.caption.tunic_2        Blue Mail
quest_status.caption.tunic_3        Red Mail
quest_status.caption.sword_1        Sword$of Courage
quest_status.caption.sword_2        Hylian Blade
quest_status.caption.sword_3        Hero's Sword
quest_status.caption.sword_4        Master Sword
quest_status.caption.shield_1       Shield
quest_status.caption.shield_2       Fire Shield
quest_status.caption.shield_3       Mirror Shield

# Inventory submenu
inventory.caption.item.feather.1             Feather
inventory.caption.item.bombs_counter.1       Bombs
inventory.caption.item.bow.1                 Bow
inventory.caption.item.bow.2                 Bow & Arrows
inventory.caption.item.boomerang.1           Boomerang
inventory.caption.item.boomerang.2           Super Boomerang
inventory.caption.item.lamp.1                Lamp
inventory.caption.item.hookshot.1            Hookshot
inventory.caption.item.bottle_1.1            Magic Bottle$(Empty)
inventory.caption.item.bottle_1.2            Magic Bottle$(Water)
inventory.caption.item.bottle_1.3            Magic Bottle$(Red Potion)
inventory.caption.item.bottle_1.4            Magic Bottle$(Green Potion)
inventory.caption.item.bottle_1.5            Magic Bottle$(Blue Potion)
inventory.caption.item.bottle_1.6            Magic Bottle$(Fairy)

inventory.caption.item.pegasus_shoes.1       Pegasus Boots
inventory.caption.item.mystic_mirror.1       Mystic Mirror
inventory.caption.item.cane_of_somaria.1     Cane of Somaria
inventory.caption.item.apples_counter.1      Apples
inventory.caption.item.pains_au_chocolat_counter.1    Pains au Chocolat
inventory.caption.item.croissants_counter.1  Croissants
inventory.caption.item.bottle_2.1            Magic Bottle$(Empty)
inventory.caption.item.bottle_2.2            Magic Bottle$(Water)
inventory.caption.item.bottle_2.3            Magic Bottle$(Red Potion)
inventory.caption.item.bottle_2.4            Magic Bottle$(Green Potion)
inventory.caption.item.bottle_2.5            Magic Bottle$(Blue Potion)
inventory.caption.item.bottle_2.6            Magic Bottle$(Fairy)

inventory.caption.item.rock_key.1            Roc's Key
inventory.caption.item.bone_key.1            Bone Key
inventory.caption.item.clay_key.1            Earth Key
inventory.caption.item.level_4_way.1         Apple Pie
inventory.caption.item.level_4_way.2         Gold Bars
inventory.caption.item.level_4_way.3         Edelweiss
inventory.caption.item.level_4_way.4         Tiger Scrolls
inventory.caption.item.flippers.1            Flippers
inventory.caption.item.magic_cape.1          Magic Cape
inventory.caption.item.bottle_3.1            Magic Bottle$(Empty)
inventory.caption.item.bottle_3.2            Magic Bottle$(Water)
