stopped enemies/agahnim.png 4 0 -1
0	0	48	48	24	45	1	1
0	0	48	48	24	45	1	1
0	0	48	48	24	45	1	1
0	0	48	48	24	45	1	1

walking enemies/agahnim.png 4 400 1
0	0	48	48	24	45	3	3
0	0	48	48	24	45	3	3
0	0	48	48	24	45	3	3
0	0	48	48	24	45	3	3

hurt enemies/agahnim.png 4 50 0
336	0	48	48	24	45	3	3
336	0	48	48	24	45	3	3
336	0	48	48	24	45	3	3
336	0	48	48	24	45	3	3

arms_up enemies/agahnim.png 4 0 -1
144	0	48	48	24	45	1	1
144	0	48	48	24	45	1	1
144	0	48	48	24	45	1	1
144	0	48	48	24	45	1	1

preparing_fire enemies/agahnim.png 4 300 2
192	0	48	48	24	45	3	3
192	0	48	48	24	45	3	3
192	0	48	48	24	45	3	3
192	0	48	48	24	45	3	3

